Vragen,Antwoorden
"Wat eet je vanavond?","Vanavond eet ik rijst"
"Wat eet jij als toetje?","Ik eet vanillevla als toetje"
"Wat eet jij als lunch?","Ik eet rijst met curry als lunch"
"Wat eet jij als ontbijt?","Ik eet een boterham met kaas als ontbijt"
"Welk eten vind je lekker?","Ik vind naan lekker, dat is een soort brood"
"Wat drink je bij het eten?","Ik drink niets bij het eten"
"Wat eet of drink je in het weekend?","Ik eet rijst met kip in het weekend"
"Eet jij vlees?","Ja, ik eet vlees"
"Eet jij vis?","Ja, ik eet vis"
"Wat vind je niet lekker?","Ik vind broccoli niet lekker"
"Welke gezonde dingen eet je vaak?","Ik eet vaak muesli, yoghurt en fruit"
"Welke ongezonde dingen eet je?","Meestal eet ik chocoladetaart"
"Eet je vaak ongezonde dingen?","Ja, ik eet vaak ongezonde dingen (zoals chips)"
"Eet en drink je veel vet en suiker?","Nee, ik eet en drink niet veel vet en geen suiker"
"Eet je veel groente en fruit?","Ja, ik eet veel groente en fruit"
"Welk eten is typisch voor je geboorteland?","Naan is typisch voor mijn geboorteland, India. Het is een soort brood."
"Ga je vaak uit eten?","Ja, ik ga vaak uit eten in mijn geboorteland, maar niet in Nederland"
"Naar welk restaurant ga je graag?","Ik ga graag naar Koreaanse restaurants."
"Wanneer ga je uit eten?","Ik ga meestal 's ochtends uit eten"
"Hoe laat ga je eten in een restaurant?","Ik ga meestal rond 6 uur 's avonds naar een restaurant"
"Met wie ga je meestal uit eten?","Ik ga meestal uit met mijn gezin"
"Bestel je vaak eten op internet?","Ja, ik bestel vaak eten op internet"
"Wat voor eten bestel je op internet?","Ik bestel vaak pizza op internet"
