id,type,text,question,option1,option2,option3,option4,correct
1,text,"Het is december. Paulo krijgt van de gemeente een folder met informatie over het afsteken van vuurwerk.

Wanneer mag u vuurwerk afsteken?
U mag vuurwerk afsteken tussen 31 december 18.00 uur en 1 januari 02.00 uur. U kunt een boete van € 100 krijgen als u vuurwerk afsteekt buiten deze tijden.

Vuurwerkverbod op bepaalde plekken
In onze gemeente is op sommige plekken het afsteken van vuurwerk verboden: in het winkelcentrum, in de buurt van het Maxima-ziekenhuis en bij alle kinderboerderijen.

Veilig vuurwerk afsteken
Gaat u tijdens de jaarwisseling vuurwerk afsteken of buiten naar het vuurwerk kijken? Dan kunt u het beste uw ogen beschermen met een vuurwerkbril.","Paulo wil vuurwerk afsteken met oud & nieuw. Wanneer mag dat precies?","Alleen op 31 december de hele dag.","Alleen op 1 januari de hele dag.","Van 31 december om 18 uur 's avonds tot 1 januari om 2 uur 's nachts.","Op 31 december & op 1 januari de hele dag.",2
2,text,"Het is december. Paulo krijgt van de gemeente een folder met informatie over het afsteken van vuurwerk.

Vuurwerkverbod op bepaalde plekken
In onze gemeente is op sommige plekken het afsteken van vuurwerk verboden: in het winkelcentrum, in de buurt van het Maxima-ziekenhuis en bij alle kinderboerderijen.","Paulo wil vuurwerk afsteken. Waar mag hij dat doen?","Dichtbij het ziekenhuis.","In het winkelcentrum.","Niet bij het ziekenhuis en ook niet in het winkelcentrum.",,2
3,text,"Veilig vuurwerk afsteken
Gaat u tijdens de jaarwisseling vuurwerk afsteken of buiten naar het vuurwerk kijken? Dan kunt u het beste uw ogen beschermen met een vuurwerkbril.","Paolo koopt een vuurwerkbril. Waarom koopt hij die speciale bril?","Die bril beschermt zijn ogen.","Met die bril kan hij het vuurwerk beter zien.","De vuurwerkbril is verplicht.",,0
4,text,"Nanda krijgt een e-mail van haar broer Adriaan en zijn vriend Olivier. Zij schrijven haar over het plan voor het weekend.

Hoi Nanda
Hoe gaat het met je? Met ons is alles goed. Het is druk in onze kaaswinkel en ook bij ons thuis. Dit weekend hebben we een afspraak met je. We hadden afgesproken, dat we zaterdagochtend om 10 uur bij jou zijn. We gaan je trakteren op een dagje uit. We komen, maar we moeten in de ochtend nog werken in onze winkel. Dus 10 uur redden we niet. Het wordt iets later, we denken half 12. We sturen je een foto mee van het bootje, dat we gehuurd hebben. Daarmee gaan we zaterdagmiddag samen het water op. Leuk, toch?
Wij slapen van zaterdag op zondag in een Bed & Breakfast, dichtbij jouw huis.

Op zondagochtend gaan we zoals afgesproken samen met jou om 10 uur naar de kerk. We hebben er zin in!

Groetjes en tot zaterdag, Adriaan & Olivier","Nanda krijgt bezoek. Wanneer komen Adriaan en Olivier aan?","Op zaterdagochtend om 10 uur.","Op zaterdagochtend om half 12.","Op zondagochtend om 10 uur.","Zaterdagmiddag.",1
5,text,"Hoi Nanda
Hoe gaat het met je? Met ons is alles goed. Het is druk in onze kaaswinkel en ook bij ons thuis. Dit weekend hebben we een afspraak met je. We hadden afgesproken, dat we zaterdagochtend om 10 uur bij jou zijn. We gaan je trakteren op een dagje uit. We komen, maar we moeten in de ochtend nog werken in onze winkel. Dus 10 uur redden we niet.","Moeten Adriaan en Olivier op zaterdag werken?","Ja, zij moeten eerst werken op hun boot.","Ja, zij moeten eerst werken in hun winkel.","Ja, zij hebben een Bed & Breakfast-bedrijf.","Nee, zij staan vroeg op en gaan extra vroeg naar Nanda.",1
6,text,"Fatima heeft schade aan haar nieuwe auto. Zij wil de kosten van de schade vergoed krijgen van de verzekeringsmaatschappij. Zij krijgt deze e-mail.

Geachte heer, mevrouw,

Wij hebben uw vraag over schadevergoeding ontvangen. U heeft schade aan uw nieuwe auto. U wilt dat wij deze schade vergoeden. U hebt ons alle informatie gestuurd over de schade.

Op basis van de informatie die u ons heeft gegeven, kunnen we u het volgende meedelen: u hebt recht op een schadevergoeding, maar u hebt ook een eigen risico van € 250. U moet, zoals ook in de polis staat, uw auto laten repareren bij uw eigen Toyota-garage.

Wij wensen u na deze reparatie weer veel schadevrije kilometers!

Met vriendelijke groet,
ARAG Autoverzekeringen","Hoeveel schadevergoeding krijgt Fatima?","De schade aan de nieuwe auto wordt 100% vergoed.","Zij zal € 250 euro schadevergoeding krijgen van de verzekering.","Zij krijgt een vergoeding, maar zij moet € 250 zelf betalen.","De garage weet hoeveel schadevergoeding Fatima zal krijgen.",2
7,text,"U moet, zoals ook in de polis staat, uw auto laten repareren bij uw eigen Toyota-garage.","Wie gaat de auto repareren?","Fatima heeft de auto zelf gerepareerd.","De ARAG repareert de auto van Fatima.","De Toyota-garage gaat de auto van Fatima repareren.",,2
8,text,"Maxima ziet een folder met reclame voor een abonnement op een tijdschrift.

Storyplus –magazine – speciaal voor u!

Storyplus –magazine is al tientallen jaren het belangrijkste tijdschrift voor iedereen die alles wil weten van de Nederlandse televisiesterren en de leden van het koninklijk huis. En zegt u nu zelf: wie wil dat niet?

Storyplus –magazine verschijnt wekelijks. Wij hebben voor u een speciaal aanbod: U betaalt niet € 82,95, maar slechts € 49,75 voor een jaarabonnement. Dat is een korting van 40%. U betaalt minder dan 1 euro per week!

Wilt u straks ook alles weten over onze koning, over onze koningin en over hun kinderen? Wilt u het laatste nieuws weten over alle bekende Nederlanders die u elke dag op de televisie ziet? Dat kan!

Laat deze unieke kans niet lopen: bel uiterlijk vóór 31 december naar 0900 – 244.62 44 of vul (vóór 31 december) het formulier in op www.storyplus.nl

Storyplus –magazine … Lees ons elke week en u weet echt alles!!!","Wat voor soort tijdschrift is Storyplus –magazine?","Een dagblad.","Een maandblad.","Een weekblad.",,2
9,text,"Storyplus –magazine is al tientallen jaren het belangrijkste tijdschrift voor iedereen die alles wil weten van de Nederlandse televisiesterren en de leden van het koninklijk huis.

Wilt u straks ook alles weten over onze koning, over onze koningin en over hun kinderen? Wilt u het laatste nieuws weten over alle bekende Nederlanders die u elke dag op de televisie ziet?","Wat voor nieuws kan Maxima lezen in Storyplus –magazine?","Nieuws over het koninklijk huis.","Nieuws over belangrijke politieke zaken.","Nieuws over kleding die je met 40% korting kunt kopen.",,0
10,text,"Laat deze unieke kans niet lopen: bel uiterlijk vóór 31 december naar 0900 – 244.62 44 of vul (vóór 31 december) het formulier in op www.storyplus.nl","Maxima wil een jaarabonnement nemen op Storyplus –magazine. Hoe kan zij gebruik maken van deze aanbieding van 40% korting?","Zij moet deze week € 49,75 betalen aan Storyplus –magazine.","Zij moet deze maand € 49,75 betalen aan Storyplus –magazine.","Zij moet vóór 31 december bellen of een formulier invullen.",,2
