Vragen,Antwoorden
"Wie ben je?","Ik ben Rajesh"
"Waar woon je?","Ik woon in Almere."
"Waar kom je vandaan?","Ik kom uit India/Pakistan/Turkije/Litouwen"
"Woon je in een dorp of in een stad?","Ik woon in een stad"
"Hoelang woon je in Nederland?","Ik woon twee jaar in Nederland"
"Werk je?","Ja, ik werk"
"Waar werk je?","Ik werk bij Wordline"
"Ga je naar school?","Ja, ik ga naar school"
"Wat leer je op school?","Ik leer Nederlands"
"Wat is je telefoonnummer?","Mijn telefoonnummer is nul zes drie vijf zes negen etc."
"Hoe spel je je voornaam?","P I E T"
"Wat is je voornaam?","Mijn voornaam is Piet"
"Wat is je achternaam?","Mijn achternaam is Jansen"
"Hoe spel je je achternaam?","J A N S E N"
"Wat is je adres?","Mijn adres is [straat + huisnummer]"
"Wat is je postcode?","Mijn postcode is [postcode]"
"Wat is je woonplaats?","Mijn woonplaats is Almere."
"Wat is je e-mailadres?","Mijn e-mailadres is..."
"Waar ben je geboren?","Ik ben geboren in India."
"Wat is je nationaliteit?","Ik ben Indiaas/Turks/Litouws/Pakistaans/Sri-Lankaans"
"Hoe oud ben je?","Ik ben zes en dertig"
"Ben je getrouwd?","Ja, ik ben getrouwd"
"Met wie woon je?","Ik woon met mijn gezin / met mijn man"
"Wat zijn je hobby's?","Mijn hobby's zijn fietsen, koken en winkelen"
