Vragen,Antwoorden,Questions_EN,Answers_EN
"Wat eet je vanavond?","Vanavond eet ik rijst","What are you eating tonight?","Tonight I am eating rice"
"Wat eet jij als toetje?","Ik eet vanillevla als toetje","What do you eat for dessert?","I eat vanilla custard for dessert"
"Wat eet jij als lunch?","Ik eet rijst met curry als lunch","What do you eat for lunch?","I eat rice with curry for lunch"
"Wat eet jij als ontbijt?","Ik eet een boterham met kaas als ontbijt","What do you eat for breakfast?","I eat a sandwich with cheese for breakfast"
"Welk eten vind je lekker?","Ik vind naan lekker, dat is een soort brood","What food do you find tasty?","I find naan tasty, that is a type of bread"
"Wat drink je bij het eten?","Ik drink niets bij het eten","What do you drink with your meal?","I don't drink anything with my meal"
"Wat eet of drink je in het weekend?","Ik eet rijst met kip in het weekend","What do you eat or drink on the weekend?","I eat rice with chicken on the weekend"
"Eet jij vlees?","Ja, ik eet vlees","Do you eat meat?","Yes, I eat meat"
"Eet jij vis?","Ja, ik eet vis","Do you eat fish?","Yes, I eat fish"
"Wat vind je niet lekker?","Ik vind broccoli niet lekker","What don't you find tasty?","I don't find broccoli tasty"
"Welke gezonde dingen eet je vaak?","Ik eet vaak muesli, yoghurt en fruit","What healthy things do you eat often?","I often eat muesli, yogurt and fruit"
"Welke ongezonde dingen eet je?","Meestal eet ik chocoladetaart","What unhealthy things do you eat?","Usually I eat chocolate cake"
"Eet je vaak ongezonde dingen?","Ja, ik eet vaak ongezonde dingen (zoals chips)","Do you often eat unhealthy things?","Yes, I often eat unhealthy things (like chips)"
"Eet en drink je veel vet en suiker?","Nee, ik eet en drink niet veel vet en geen suiker","Do you eat and drink a lot of fat and sugar?","No, I don't eat and drink much fat and no sugar"
"Eet je veel groente en fruit?","Ja, ik eet veel groente en fruit","Do you eat a lot of vegetables and fruit?","Yes, I eat a lot of vegetables and fruit"
"Welk eten is typisch voor je geboorteland?","Naan is typisch voor mijn geboorteland, India. Het is een soort brood.","What food is typical for your birth country?","Naan is typical for my birth country, India. It is a type of bread."
"Ga je vaak uit eten?","Ja, ik ga vaak uit eten in mijn geboorteland, maar niet in Nederland","Do you often eat out?","Yes, I often eat out in my birth country, but not in the Netherlands"
"Naar welk restaurant ga je graag?","Ik ga graag naar Koreaanse restaurants.","Which restaurant do you like to go to?","I like to go to Korean restaurants."
"Wanneer ga je uit eten?","Ik ga meestal 's ochtends uit eten","When do you eat out?","I usually eat out in the morning"
"Hoe laat ga je eten in een restaurant?","Ik ga meestal rond 6 uur 's avonds naar een restaurant","What time do you eat in a restaurant?","I usually go to a restaurant around 6 o'clock in the evening"
"Met wie ga je meestal uit eten?","Ik ga meestal uit met mijn gezin","Who do you usually eat out with?","I usually go out with my family"
"Bestel je vaak eten op internet?","Ja, ik bestel vaak eten op internet","Do you often order food online?","Yes, I often order food online"
"Wat voor eten bestel je op internet?","Ik bestel vaak pizza op internet","What kind of food do you order online?","I often order pizza online"
